Word	start_frame	end_frame	chunk	interval_id
Avengers	0.0	11.0	0	cmu0000004261
endgame	11.0	17.0	0	cmu0000004261
you	17.0	20.0	0	cmu0000004261
guys	20.0	23.0	0	cmu0000004261
excited	23.0	26.0	0	cmu0000004261
about	26.0	29.0	0	cmu0000004261
this	29.0	65.0	0	cmu0000004261
it	65.0	71.0	0	cmu0000004261
doesn't	71.0	74.0	0	cmu0000004261
come	74.0	75.0	0	cmu0000004261
out	75.0	78.0	0	cmu0000004261
for	78.0	80.0	0	cmu0000004261
three	80.0	84.0	0	cmu0000004261
weeks	84.0	86.0	0	cmu0000004261
but	86.0	95.0	0	cmu0000004261
tickets	95.0	102.0	0	cmu0000004261
went	102.0	104.0	0	cmu0000004261
on	104.0	105.0	0	cmu0000004261
sale	105.0	107.0	0	cmu0000004261
today	107.0	113.0	0	cmu0000004261
and	113.0	116.0	0	cmu0000004261
so	116.0	117.0	0	cmu0000004261
many	117.0	119.0	0	cmu0000004261
people	119.0	122.0	0	cmu0000004261
try	122.0	128.0	0	cmu0000004261
to	128.0	128.0	0	cmu0000004261
buy	128.0	132.0	0	cmu0000004261
them	132.0	135.0	0	cmu0000004261
but	135.0	140.0	0	cmu0000004261
all	140.0	141.0	0	cmu0000004261
the	141.0	144.0	0	cmu0000004261
ticket	144.0	149.0	0	cmu0000004261
sites	149.0	153.0	0	cmu0000004261
crashed	153.0	179.0	0	cmu0000004261
I	179.0	183.0	0	cmu0000004261
pretty	183.0	188.0	0	cmu0000004261
much	188.0	188.0	0	cmu0000004261
sums	188.0	194.0	0	cmu0000004261
up	194.0	194.0	0	cmu0000004261
the	194.0	197.0	0	cmu0000004261
country	197.0	201.0	0	cmu0000004261
we	201.0	204.0	0	cmu0000004261
buy	204.0	206.0	0	cmu0000004261
our	206.0	209.0	0	cmu0000004261
Avengers	209.0	215.0	0	cmu0000004261
tickets	215.0	221.0	0	cmu0000004261
three	221.0	224.0	0	cmu0000004261
weeks	224.0	227.0	0	cmu0000004261
early	227.0	231.0	0	cmu0000004261
file	231.0	239.0	0	cmu0000004261
our	239.0	240.0	0	cmu0000004261
taxes	240.0	246.0	0	cmu0000004261
5	246.0	249.0	0	cmu0000004261
minutes	249.0	254.0	0	cmu0000004261
before	254.0	255.0	0	cmu0000004261
they	255.0	258.0	0	cmu0000004261
