Word	start_frame	end_frame	chunk	interval_id
that	0.0	17.0	0	102582
looks	17.0	27.0	0	102582
painting	0.0	5.0	1	105385
fences	5.0	12.0	1	105385
well	12.0	24.0	1	105385
guess	24.0	29.0	1	105385
what	29.0	30.0	1	105385
now	30.0	44.0	1	105385
it's	44.0	47.0	1	105385
time	47.0	50.0	1	105385
to	50.0	56.0	1	105385
do	56.0	60.0	1	105385
some	60.0	65.0	1	105385
in	65.0	72.0	1	105385
Karate	72.0	83.0	1	105385
for	83.0	101.0	1	105385
once	101.0	107.0	1	105385
in	107.0	110.0	1	105385
your	110.0	110.0	1	105385
life	110.0	111.0	1	105385
we	111.0	128.0	1	105385
need	128.0	129.0	1	105385
to	129.0	142.0	1	105385
we	0.0	17.0	2	215666
don't	17.0	20.0	2	215666
even	20.0	21.0	2	215666
know	21.0	24.0	2	215666
what	24.0	80.0	2	215666
and	0.0	18.0	4	102063
once	18.0	24.0	4	102063
again	24.0	27.0	4	102063
America	27.0	39.0	4	102063
is	39.0	42.0	4	102063
saved	42.0	48.0	4	102063
from	48.0	50.0	4	102063
destruction	50.0	54.0	4	102063
by	54.0	62.0	4	102063
the	62.0	63.0	4	102063
heroes	63.0	72.0	4	102063
in	72.0	75.0	4	102063
Milton	75.0	83.0	4	102063
six	83.0	114.0	4	102063
I	114.0	116.0	4	102063
need	116.0	120.0	4	102063
case	120.0	125.0	4	102063
you	125.0	128.0	4	102063
think	128.0	131.0	4	102063
it's	131.0	135.0	4	102063
just	135.0	137.0	4	102063
low-level	137.0	146.0	4	102063
unmotivated	146.0	161.0	4	102063
offices	161.0	168.0	4	102063
with	168.0	171.0	4	102063
dropping	171.0	174.0	4	102063
the	174.0	177.0	4	102063
ball	177.0	179.0	4	102063
here	179.0	183.0	4	102063
that's	183.0	191.0	4	102063
means	191.0	195.0	4	102063
two	195.0	200.0	4	102063
of	200.0	204.0	4	102063
the	204.0	206.0	4	102063
top	206.0	210.0	4	102063
people	210.0	215.0	4	102063
who	215.0	218.0	4	102063
played	218.0	222.0	4	102063
in	222.0	224.0	4	102063
charge	224.0	231.0	4	102063
of	231.0	236.0	4	102063
our	236.0	237.0	4	102063
most	237.0	242.0	4	102063
powerful	242.0	249.0	4	102063
Harry	249.0	299.0	4	102063
he	299.0	305.0	4	102063
was	305.0	308.0	4	102063
relieved	308.0	312.0	4	102063
of	312.0	315.0	4	102063
command	315.0	317.0	4	102063
last	317.0	327.0	4	102063
October	327.0	336.0	4	102063
for	336.0	342.0	4	102063
spectacular	342.0	361.0	4	102063
if	0.0	7.0	5	104082
he	7.0	8.0	5	104082
gets	8.0	26.0	5	104082
overloaded	26.0	32.0	5	104082
it	32.0	37.0	5	104082
will	37.0	38.0	5	104082
give	38.0	41.0	5	104082
you	41.0	43.0	5	104082
a	43.0	44.0	5	104082
courtesy	44.0	53.0	5	104082
disconnect	53.0	67.0	5	104082
which	67.0	74.0	5	104082
means	74.0	79.0	5	104082
hanging	79.0	86.0	5	104082
up	86.0	88.0	5	104082
on	88.0	91.0	5	104082
you	91.0	96.0	5	104082
if	0.0	1.0	6	106043
your	1.0	4.0	6	106043
smarts	4.0	12.0	6	106043
what	12.0	17.0	6	106043
on	0.0	0.0	7	101510
we	0.0	6.0	7	101510
have	6.0	8.0	7	101510
to	8.0	9.0	7	101510
change	9.0	12.0	7	101510
the	12.0	17.0	7	101510
flag	17.0	21.0	7	101510
but	21.0	29.0	7	101510
we	29.0	30.0	7	101510
could	30.0	36.0	7	101510
do	36.0	38.0	7	101510
bats	38.0	45.0	7	101510
make	45.0	53.0	7	101510
sure	53.0	54.0	7	101510
it	54.0	60.0	7	101510
would	60.0	62.0	7	101510
look	62.0	65.0	7	101510
slightly	65.0	69.0	7	101510
different	69.0	72.0	7	101510
but	72.0	84.0	7	101510
we've	84.0	87.0	7	101510
been	87.0	89.0	7	101510
using	89.0	95.0	7	101510
a	95.0	96.0	7	101510
51	96.0	105.0	7	101510
star	105.0	113.0	7	101510
flag	113.0	117.0	7	101510
for	117.0	119.0	7	101510
this	119.0	125.0	7	101510
common	0.0	1.0	8	104690
place	1.0	4.0	8	104690
to	4.0	5.0	8	104690
go	5.0	8.0	8	104690
off	8.0	11.0	8	104690
to	11.0	14.0	8	104690
hitting	14.0	19.0	8	104690
rock-bottom	19.0	23.0	8	104690
don't	23.0	65.0	8	104690
let	65.0	68.0	8	104690
that	68.0	71.0	8	104690
fool	71.0	80.0	8	104690
you	80.0	85.0	8	104690
every	85.0	94.0	8	104690
one	94.0	97.0	8	104690
of	97.0	98.0	8	104690
those	98.0	100.0	8	104690
men	100.0	106.0	8	104690
is	106.0	107.0	8	104690
at	107.0	110.0	8	104690
the	110.0	110.0	8	104690
lowest	110.0	116.0	8	104690
point	116.0	121.0	8	104690
in	121.0	124.0	8	104690
that	124.0	125.0	8	104690
lives	125.0	133.0	8	104690
in	133.0	134.0	8	104690
that	134.0	134.0	8	104690
photo	134.0	139.0	8	104690
we	139.0	160.0	8	104690
have	160.0	163.0	8	104690
is	163.0	166.0	8	104690
a	166.0	166.0	8	104690
place	166.0	170.0	8	104690
where	170.0	172.0	8	104690
people	172.0	175.0	8	104690
can	175.0	179.0	8	104690
address	179.0	184.0	8	104690
an	184.0	187.0	8	104690
addiction	187.0	193.0	8	104690
to	193.0	193.0	8	104690
drugs	193.0	202.0	8	104690
or	202.0	203.0	8	104690
alcohol	203.0	205.0	8	104690
something.	205.0	220.0	8	104690
Until	220.0	226.0	8	104690
relatively	226.0	232.0	8	104690
recently	232.0	235.0	8	104690
was	235.0	250.0	8	104690
seen	250.0	253.0	8	104690
as	253.0	254.0	8	104690
a	254.0	254.0	8	104690
moral	254.0	260.0	8	104690
failing	260.0	263.0	8	104690
they	263.0	268.0	8	104690
could	268.0	271.0	8	104690
be	271.0	272.0	8	104690
overcome	272.0	277.0	8	104690
with	277.0	280.0	8	104690
sheer	280.0	284.0	8	104690
willpower	284.0	289.0	8	104690
2018	289.0	344.0	8	104690
starring	344.0	353.0	8	104690
singer	353.0	361.0	8	104690
is	0.0	60.0	9	101514
Casa	60.0	70.0	9	101514
Real	70.0	75.0	9	101514
verb	75.0	84.0	9	101514
if	84.0	96.0	9	101514
you've	96.0	97.0	9	101514
only	97.0	100.0	9	101514
been	100.0	103.0	9	101514
cowboy	103.0	111.0	9	101514
in	111.0	112.0	9	101514
for	112.0	115.0	9	101514
25	115.0	121.0	9	101514
years	121.0	127.0	9	101514
what	127.0	133.0	9	101514
did	133.0	135.0	9	101514
you	135.0	138.0	9	101514
do	138.0	139.0	9	101514
before	139.0	141.0	9	101514
you	141.0	150.0	9	101514
were	150.0	151.0	9	101514
cowboy	151.0	157.0	9	101514
in	157.0	160.0	9	101514
and	160.0	172.0	9	101514
why	172.0	175.0	9	101514
are	175.0	178.0	9	101514
you	178.0	180.0	9	101514
in	180.0	181.0	9	101514
the	181.0	184.0	9	101514
library	184.0	189.0	9	101514
I'm	189.0	193.0	9	101514
one	193.0	196.0	9	101514
that	196.0	198.0	9	101514
doesn't	198.0	202.0	9	101514
want	202.0	204.0	9	101514
to	204.0	207.0	9	101514
overdo	207.0	217.0	9	101514
it	217.0	219.0	9	101514
with	219.0	222.0	9	101514
the	222.0	223.0	9	101514
books	223.0	232.0	9	101514
you	232.0	247.0	9	101514
fussing	247.0	259.0	9	101514
like	259.0	261.0	9	101514
to	261.0	265.0	9	101514
me	265.0	288.0	9	101514
what	288.0	294.0	9	101514
Trump	294.0	298.0	9	101514
doesn't	298.0	307.0	9	101514
just	307.0	313.0	9	101514
watch	313.0	319.0	9	101514
cable	319.0	327.0	9	101514
news	327.0	327.0	9	101514
he	327.0	334.0	9	101514
also	334.0	339.0	9	101514
takes	339.0	343.0	9	101514
information	343.0	348.0	9	101514
in	348.0	355.0	9	101514
from	355.0	361.0	9	101514
frightening	361.0	372.0	9	101514
Leon	372.0	378.0	9	101514
reliable	378.0	385.0	9	101514
sources	385.0	391.0	9	101514
such	391.0	394.0	9	101514
as	394.0	397.0	9	101514
Breitbart	397.0	409.0	9	101514
the	409.0	415.0	9	101514
organization	415.0	426.0	9	101514
which	426.0	429.0	9	101514
Trump's	429.0	478.0	9	101514
Chief	478.0	483.0	9	101514
strategist	483.0	492.0	9	101514
eligible	492.0	540.0	9	101514
stories	540.0	547.0	9	101514
as	547.0	558.0	9	101514
birth	558.0	564.0	9	101514
control	564.0	565.0	9	101514
makes	565.0	574.0	9	101514
women	574.0	579.0	9	101514
unattractive	579.0	582.0	9	101514
and	582.0	589.0	9	101514
crazy	589.0	603.0	9	101514
even	0.0	37.0	11	215398
Shore	37.0	43.0	11	215398
Pennsylvania	43.0	47.0	11	215398
deserves	47.0	61.0	11	215398
to	61.0	64.0	11	215398
be	64.0	65.0	11	215398
cooled	65.0	70.0	11	215398
the	70.0	70.0	11	215398
worst	70.0	76.0	11	215398
because	76.0	79.0	11	215398
I	79.0	82.0	11	215398
was	82.0	85.0	11	215398
high	85.0	88.0	11	215398
I	88.0	89.0	11	215398
was	89.0	92.0	11	215398
Shelton	92.0	103.0	11	215398
was	103.0	110.0	11	215398
for	110.0	112.0	11	215398
decades	112.0	115.0	11	215398
so	115.0	122.0	11	215398
lacks	122.0	130.0	11	215398
even	130.0	136.0	11	215398
child	136.0	142.0	11	215398
Advocates	142.0	154.0	11	215398
of	154.0	158.0	11	215398
the	158.0	167.0	11	215398
Wild	167.0	173.0	11	215398
West	173.0	179.0	11	215398
the	179.0	188.0	11	215398
states	188.0	193.0	11	215398
that	193.0	194.0	11	215398
surround	194.0	197.0	11	215398
360	197.0	214.0	11	215398
chocolate	214.0	218.0	11	215398
has	218.0	221.0	11	215398
John	221.0	235.0	11	215398
Kasich	235.0	241.0	11	215398
speaks	241.0	251.0	11	215398
often	251.0	254.0	11	215398
about	254.0	263.0	11	215398
how	263.0	266.0	11	215398
much	266.0	269.0	11	215398
he	269.0	272.0	11	215398
loves	272.0	277.0	11	215398
choice	277.0	283.0	11	215398
and	283.0	286.0	11	215398
competition	286.0	295.0	11	215398
I	0.0	67.0	12	216063
feel	67.0	70.0	12	216063
something	70.0	75.0	12	216063
that	75.0	78.0	12	216063
you	78.0	79.0	12	216063
want	79.0	82.0	12	216063
to	82.0	84.0	12	216063
fix	84.0	88.0	12	216063
on	88.0	90.0	12	216063
a	90.0	91.0	12	216063
strand	91.0	96.0	12	216063
of	96.0	96.0	12	216063
DNA	96.0	97.0	12	216063
are	97.0	105.0	12	216063
with	105.0	108.0	12	216063
Chris	108.0	111.0	12	216063
but	111.0	114.0	12	216063
you	114.0	117.0	12	216063
could	117.0	118.0	12	216063
theoretically	118.0	123.0	12	216063
find	123.0	132.0	12	216063
it	132.0	133.0	12	216063
cut	133.0	142.0	12	216063
it	142.0	144.0	12	216063
out	144.0	148.0	12	216063
and	148.0	154.0	12	216063
paste	154.0	160.0	12	216063
it	160.0	163.0	12	216063
affects	163.0	171.0	12	216063
only	171.0	186.0	12	216063
clipping	186.0	192.0	12	216063
shows	192.0	196.0	12	216063
up	196.0	198.0	12	216063
and	198.0	199.0	12	216063
says	199.0	202.0	12	216063
hi.	202.0	244.0	12	216063
Supply	244.0	253.0	12	216063
is	253.0	316.0	12	216063
huge	316.0	330.0	12	216063
some	330.0	424.0	12	216063
cases	424.0	429.0	12	216063
of	429.0	430.0	12	216063
early	430.0	435.0	12	216063
onset	435.0	439.0	12	216063
Alzheimer's	439.0	445.0	12	216063
Gene	445.0	466.0	12	216063
editing	466.0	472.0	12	216063
is	472.0	477.0	12	216063
wildly	477.0	489.0	12	216063
difficult	489.0	498.0	12	216063
disease	498.0	505.0	12	216063
is	505.0	507.0	12	216063
typically	507.0	513.0	12	216063
have	513.0	517.0	12	216063
multiple	517.0	528.0	12	216063
genes	528.0	534.0	12	216063
that	534.0	535.0	12	216063
contribute	535.0	543.0	12	216063
to	543.0	544.0	12	216063
them	544.0	547.0	12	216063
and	547.0	552.0	12	216063
human	552.0	558.0	12	216063
trials	558.0	564.0	12	216063
have	564.0	568.0	12	216063
been	568.0	571.0	12	216063
extremely	571.0	577.0	12	216063
rare	577.0	583.0	12	216063
having	583.0	606.0	12	216063
some	606.0	612.0	12	216063
people	0.0	1.0	13	101659
who	1.0	4.0	13	101659
work	4.0	9.0	13	101659
hard	9.0	10.0	13	101659
enough	10.0	15.0	13	101659
can	15.0	19.0	13	101659
make	19.0	25.0	13	101659
it	25.0	28.0	13	101659
or	28.0	36.0	13	101659
other	36.0	39.0	13	101659
words	39.0	46.0	13	101659
Tobey	0.0	7.0	14	104703
Maguire	7.0	10.0	14	104703
and	10.0	18.0	14	104703
Andrew	18.0	18.0	14	104703
Garfield	18.0	30.0	14	104703
so	0.0	49.0	16	105185
the	49.0	52.0	16	105185
North	52.0	56.0	16	105185
Korean	56.0	62.0	16	105185
regime	62.0	65.0	16	105185
has	65.0	73.0	16	105185
been	73.0	76.0	16	105185
very	76.0	82.0	16	105185
careful	82.0	85.0	16	105185
about	85.0	89.0	16	105185
presenting	89.0	95.0	16	105185
a	95.0	106.0	16	105185
threatening	106.0	116.0	16	105185
image	116.0	122.0	16	105185
of	122.0	124.0	16	105185
Americans	124.0	131.0	16	105185
to	131.0	134.0	16	105185
its	134.0	137.0	16	105185
people	137.0	140.0	16	105185
and	140.0	143.0	16	105185
some	143.0	148.0	16	105185
activists	148.0	155.0	16	105185
have	155.0	160.0	16	105185
actually	160.0	163.0	16	105185
been	163.0	164.0	16	105185
trying	164.0	167.0	16	105185
to	167.0	170.0	16	105185
undermine	170.0	179.0	16	105185
that	179.0	185.0	16	105185
boy	185.0	193.0	16	105185
sneaking	193.0	200.0	16	105185
information	200.0	209.0	16	105185
into	209.0	214.0	16	105185
the	214.0	221.0	16	105185
that	0.0	1.0	20	105276
jumps	1.0	10.0	20	105276
things	10.0	19.0	20	105276
can	19.0	21.0	20	105276
actually	21.0	28.0	20	105276
get	28.0	37.0	20	105276
overnight	0.0	1.0	21	214155
understand	1.0	46.0	21	214155
what's	46.0	199.0	21	214155
a	199.0	199.0	21	214155
country	199.0	211.0	21	214155
but	0.0	10.0	24	102661
the	10.0	12.0	24	102661
real	12.0	15.0	24	102661
risk	15.0	25.0	24	102661
here	25.0	30.0	24	102661
is	30.0	40.0	24	102661
subsidy	40.0	49.0	24	102661
standing	49.0	54.0	24	102661
up	54.0	57.0	24	102661
too	57.0	61.0	24	102661
small	61.0	69.0	24	102661
for	69.0	70.0	24	102661
those	70.0	75.0	24	102661
who	75.0	76.0	24	102661
need	76.0	78.0	24	102661
them	78.0	82.0	24	102661
the	82.0	84.0	24	102661
most	84.0	85.0	24	102661
Tom	85.0	97.0	24	102661
Price	97.0	103.0	24	102661
once	103.0	112.0	24	102661
proposed	112.0	117.0	24	102661
a	117.0	122.0	24	102661
seeking	0.0	46.0	25	102658
a	46.0	48.0	25	102658
degree	48.0	51.0	25	102658
in	51.0	57.0	25	102658
weiner	57.0	64.0	25	102658
studies	64.0	73.0	25	102658
go	73.0	82.0	25	102658
the	82.0	87.0	25	102658
extra	87.0	90.0	25	102658
mile	90.0	99.0	25	102658
and	99.0	112.0	25	102658
the	112.0	112.0	25	102658
worst	112.0	118.0	25	102658
thing	118.0	120.0	25	102658
is	120.0	121.0	25	102658
the	121.0	129.0	25	102658
campaign	129.0	136.0	25	102658
worked	136.0	147.0	25	102658
the	147.0	153.0	25	102658
game	153.0	156.0	25	102658
for	156.0	157.0	25	102658
employment	157.0	165.0	25	102658
rules	165.0	168.0	25	102658
for	168.0	169.0	25	102658
weekend	169.0	177.0	25	102658
and	177.0	180.0	25	102658
eventually	180.0	186.0	25	102658
struck	186.0	190.0	25	102658
down	190.0	193.0	25	102658
completely	193.0	204.0	25	102658
the	204.0	213.0	25	102658
latest	213.0	219.0	25	102658
version	219.0	223.0	25	102658
of	223.0	228.0	25	102658
the	228.0	229.0	25	102658
rules	229.0	235.0	25	102658
are	235.0	237.0	25	102658
expected	237.0	244.0	25	102658
by	244.0	246.0	25	102658
November	246.0	255.0	25	102658
on	255.0	259.0	25	102658
a	259.0	261.0	25	102658
for-profit	261.0	270.0	25	102658
school	270.0	273.0	25	102658
Tri	273.0	280.0	25	102658
group	280.0	286.0	25	102658
is	286.0	300.0	25	102658
Still	300.0	304.0	25	102658
Loving	304.0	316.0	25	102658
hard	316.0	319.0	25	102658
against	319.0	325.0	25	102658
them	325.0	328.0	25	102658
you	328.0	366.0	25	102658
know	366.0	369.0	25	102658
how	369.0	373.0	25	102658
you	373.0	376.0	25	102658
feel	376.0	378.0	25	102658
about	378.0	382.0	25	102658
that	382.0	387.0	25	102658
in	387.0	388.0	25	102658
the	388.0	390.0	25	102658
strange	390.0	393.0	25	102658
Behavior	393.0	400.0	25	102658
we	400.0	414.0	25	102658
must	414.0	417.0	25	102658
be	417.0	418.0	25	102658
prepared	418.0	421.0	25	102658
a	421.0	427.0	25	102658
form	427.0	435.0	25	102658
letter	435.0	436.0	25	102658
for	436.0	444.0	25	102658
you	444.0	445.0	25	102658
which	445.0	448.0	25	102658
rage	448.0	462.0	25	102658
of	0.0	6.0	26	105845
this	6.0	9.0	26	105845
point	9.0	11.0	26	105845
I	11.0	17.0	26	105845
think	17.0	18.0	26	105845
it's	18.0	24.0	26	105845
clear	24.0	26.0	26	105845
that	26.0	29.0	26	105845
seemed	29.0	36.0	26	105845
Faith	36.0	42.0	26	105845
chia	42.0	107.0	26	105845
seed	107.0	111.0	26	105845
pudding	111.0	114.0	26	105845
is	114.0	120.0	26	105845
Tony	120.0	144.0	26	105845
Parker	144.0	153.0	26	105845
thousands	153.0	171.0	26	105845
of	171.0	173.0	26	105845
dollars	173.0	176.0	26	105845
to	176.0	179.0	26	105845
the	179.0	180.0	26	105845
church	180.0	191.0	26	105845
because	191.0	195.0	26	105845
it's	195.0	285.0	26	105845
not	285.0	288.0	26	105845
an	288.0	290.0	26	105845
unreasonable	290.0	296.0	26	105845
interpretation	296.0	317.0	26	105845
of	317.0	318.0	26	105845
the	318.0	320.0	26	105845
Copeland	320.0	324.0	26	105845
preachings	324.0	333.0	26	105845
Gloria	333.0	344.0	26	105845
Copeland	344.0	348.0	26	105845
sells	348.0	359.0	26	105845
numerous	359.0	365.0	26	105845
products	365.0	371.0	26	105845
on	371.0	374.0	26	105845
healing	374.0	383.0	26	105845
through	383.0	386.0	26	105845
faith	386.0	392.0	26	105845
has	392.0	399.0	26	105845
been	399.0	402.0	26	105845
skeptical	402.0	408.0	26	105845
in	408.0	414.0	26	105845
the	414.0	416.0	26	105845
past	416.0	420.0	26	105845
about	420.0	423.0	26	105845
going	423.0	429.0	26	105845
to	429.0	433.0	26	105845
you	0.0	3.0	27	104593
can	3.0	8.0	27	104593
donate	8.0	9.0	27	104593
to	9.0	17.0	27	104593
if	17.0	24.0	27	104593
you	24.0	26.0	27	104593
want	26.0	27.0	27	104593
to	27.0	30.0	27	104593
change	30.0	33.0	27	104593
the	33.0	36.0	27	104593
fact	36.0	41.0	27	104593
that	41.0	42.0	27	104593
currently	42.0	50.0	27	104593
the	50.0	57.0	27	104593
biggest	57.0	60.0	27	104593
scholarship	60.0	74.0	27	104593
program	74.0	81.0	27	104593
exclusively	81.0	95.0	27	104593
for	95.0	96.0	27	104593
women	96.0	102.0	27	104593
in	102.0	104.0	27	104593
America	104.0	107.0	27	104593
requires	107.0	123.0	27	104593
you	123.0	125.0	27	104593
to	125.0	126.0	27	104593
be	126.0	129.0	27	104593
unmarried	129.0	135.0	27	104593
with	135.0	146.0	27	104593
a	146.0	147.0	27	104593
mint	147.0	152.0	27	104593
condition	152.0	159.0	27	104593
uterus	159.0	183.0	27	104593
AutoZone	183.0	195.0	27	104593
Rewards	195.0	201.0	27	104593
working	201.0	207.0	27	104593
knowledge	207.0	210.0	27	104593
of	210.0	215.0	27	104593
Baltic	215.0	222.0	27	104593
SD	222.0	227.0	27	104593
safe	227.0	231.0	27	104593
technology	231.0	254.0	27	104593
painful	0.0	0.0	29	214676
to	0.0	0.0	29	214676
watch	0.0	4.0	29	214676
I'm	4.0	16.0	29	214676
not	16.0	18.0	29	214676
just	18.0	24.0	29	214676
because	24.0	25.0	29	214676
all	25.0	31.0	29	214676
of	31.0	33.0	29	214676
those	33.0	36.0	29	214676
things	36.0	46.0	29	214676
people	46.0	51.0	29	214676
in	51.0	54.0	29	214676
the	54.0	55.0	29	214676
UK	55.0	58.0	29	214676
have	58.0	64.0	29	214676
said	64.0	67.0	29	214676
about	67.0	70.0	29	214676
me	70.0	87.0	29	214676
General	0.0	7.0	30	215055
Electric	7.0	14.0	30	215055
pay	14.0	19.0	30	215055
federal	19.0	31.0	30	215055
income	31.0	34.0	30	215055
tax	34.0	38.0	30	215055
at	38.0	44.0	30	215055
all	44.0	47.0	30	215055
over	47.0	58.0	30	215055
the	58.0	59.0	30	215055
entire.	59.0	70.0	30	215055
Not	70.0	80.0	30	215055
at	80.0	83.0	30	215055
all	83.0	86.0	30	215055
and	86.0	95.0	30	215055
that	95.0	98.0	30	215055
is	98.0	104.0	30	215055
a	104.0	104.0	30	215055
staggering	104.0	115.0	30	215055
one	115.0	214.0	30	215055
that's	0.0	16.0	32	101665
an	16.0	19.0	32	101665
appealing	19.0	22.0	32	101665
phrase	22.0	34.0	32	101665
don't	34.0	40.0	32	101665
just	40.0	45.0	32	101665
want	45.0	46.0	32	101665
to	46.0	48.0	32	101665
be	48.0	49.0	32	101665
cold	49.0	52.0	32	101665
for	52.0	58.0	32	101665
leaders	58.0	64.0	32	101665
the	64.0	69.0	32	101665
same	69.0	72.0	32	101665
way	72.0	75.0	32	101665
that	75.0	75.0	32	101665
Brendan	75.0	82.0	32	101665
Fraser	82.0	88.0	32	101665
lost	88.0	93.0	32	101665
being	93.0	94.0	32	101665
told	94.0	97.0	32	101665
to	97.0	103.0	32	101665
and	0.0	81.0	33	215153
misconceptions	81.0	134.0	33	215153
for	134.0	146.0	33	215153
instance	146.0	152.0	33	215153
store	152.0	162.0	33	215153
big	162.0	168.0	33	215153
and	168.0	168.0	33	215153
small	168.0	174.0	33	215153
often	174.0	180.0	33	215153
routinely	180.0	189.0	33	215153
Overstock	189.0	200.0	33	215153
so	200.0	207.0	33	215153
that	207.0	209.0	33	215153
you	209.0	212.0	33	215153
can	212.0	213.0	33	215153
walk	213.0	216.0	33	215153
in	216.0	221.0	33	215153
and	221.0	225.0	33	215153
see	225.0	230.0	33	215153
tons	230.0	236.0	33	215153
of	236.0	239.0	33	215153
food	239.0	242.0	33	215153
that	242.0	246.0	33	215153
because	246.0	254.0	33	215153
if	254.0	255.0	33	215153
they	255.0	257.0	33	215153
don't	257.0	260.0	33	215153
do	260.0	263.0	33	215153
that	263.0	266.0	33	215153
as	266.0	276.0	33	215153
they	276.0	278.0	33	215153
smoke	278.0	285.0	33	215153
bombs	285.0	293.0	33	215153
done	293.0	325.0	33	215153
how	0.0	70.0	34	106085
loud	70.0	76.0	34	106085
can	76.0	77.0	34	106085
Giuliani	77.0	86.0	34	106085
scream	86.0	94.0	34	106085
volume	94.0	134.0	34	106085
attention	134.0	143.0	34	106085
there	143.0	257.0	34	106085
was	257.0	260.0	34	106085
nothing	260.0	266.0	34	106085
to	266.0	266.0	34	106085
say	266.0	274.0	34	106085
different	0.0	80.0	35	105703
movie	80.0	86.0	35	105703
with	86.0	101.0	35	105703
Al	101.0	104.0	35	105703
Pacino	104.0	104.0	35	105703
sitting	104.0	122.0	35	105703
in	122.0	124.0	35	105703
a	124.0	124.0	35	105703
chair	124.0	134.0	35	105703
process	0.0	6.0	36	101857
of	6.0	10.0	36	101857
finding	10.0	13.0	36	101857
out	13.0	19.0	36	101857
is	19.0	28.0	36	101857
really	28.0	36.0	36	101857
important	36.0	39.0	36	101857
and	39.0	49.0	36	101857
it	49.0	51.0	36	101857
needs	51.0	58.0	36	101857
to	58.0	60.0	36	101857
be	60.0	60.0	36	101857
seen	60.0	66.0	36	101857
through	66.0	67.0	36	101857
to	67.0	72.0	36	101857
its	72.0	75.0	36	101857
conclusion	75.0	75.0	36	101857
I'm	75.0	90.0	36	101857
I	90.0	91.0	36	101857
feel	91.0	96.0	36	101857
right	96.0	100.0	36	101857
now	100.0	103.0	36	101857
is	103.0	106.0	36	101857
that	106.0	114.0	36	101857
we	114.0	115.0	36	101857
are	115.0	117.0	36	101857
headed	117.0	121.0	36	101857
in	121.0	121.0	36	101857
the	121.0	124.0	36	101857
direction	124.0	124.0	36	101857
we're	124.0	135.0	36	101857
even	135.0	139.0	36	101857
if	139.0	139.0	36	101857
you	139.0	141.0	36	101857
want	141.0	142.0	36	101857
to	142.0	144.0	36	101857
come	144.0	145.0	36	101857
back	145.0	148.0	36	101857
with	148.0	156.0	36	101857
irrefutable	156.0	163.0	36	101857
evidence	163.0	171.0	36	101857
Trump	171.0	183.0	36	101857
just	183.0	190.0	36	101857
pardon	190.0	192.0	36	101857
himself	192.0	198.0	36	101857
and	198.0	207.0	36	101857
put	207.0	210.0	36	101857
out	210.0	211.0	36	101857
a	211.0	213.0	36	101857
book	213.0	216.0	36	101857
if	216.0	228.0	36	101857
I	228.0	229.0	36	101857
did	229.0	232.0	36	101857
it	232.0	237.0	36	101857
on	237.0	244.0	36	101857
a	244.0	246.0	36	101857
very	246.0	250.0	36	101857
large	250.0	255.0	36	101857
portion	255.0	261.0	36	101857
of	261.0	264.0	36	101857
in	0.0	4.0	37	214363
the	4.0	5.0	37	214363
history	5.0	13.0	37	214363
of	13.0	14.0	37	214363
sports	14.0	20.0	37	214363
but	20.0	33.0	37	214363
is	0.0	10.0	38	106339
this	10.0	13.0	38	106339
still	13.0	19.0	38	106339
happening	19.0	22.0	38	106339
since	22.0	77.0	38	106339
an	77.0	83.0	38	106339
era	83.0	89.0	38	106339
when	89.0	92.0	38	106339
people	92.0	97.0	38	106339
talked	97.0	103.0	38	106339
spoken	0.0	77.0	39	106324
of	77.0	79.0	39	106324
the	79.0	80.0	39	106324
brain	80.0	88.0	39	106324
is	88.0	89.0	39	106324
located	89.0	91.0	39	106324
somewhere	91.0	106.0	39	106324
on	106.0	109.0	39	106324
the	109.0	112.0	39	106324
other	112.0	113.0	39	106324
side	113.0	130.0	39	106324
be	0.0	3.0	40	214604
politically	3.0	19.0	40	214604
for	0.0	1.0	41	106083
huge	1.0	7.0	41	106083
technological	7.0	10.0	41	106083
advances	10.0	25.0	41	106083
and	25.0	28.0	41	106083
yet	28.0	30.0	41	106083
I	30.0	30.0	41	106083
still	30.0	33.0	41	106083
can't	33.0	37.0	41	106083
seem	37.0	42.0	41	106083
to	42.0	42.0	41	106083
get	42.0	45.0	41	106083
pandas	45.0	52.0	41	106083
to	52.0	54.0	41	106083
fuck	54.0	76.0	41	106083
Elena	76.0	82.0	41	106083
is	82.0	85.0	41	106083
a	85.0	87.0	41	106083
gigantic	87.0	100.0	41	106083
and	100.0	105.0	41	106083
consequential	105.0	114.0	41	106083
Country	114.0	120.0	41	106083
where	120.0	121.0	41	106083
roughly	121.0	129.0	41	106083
one	129.0	136.0	41	106083
out	136.0	139.0	41	106083
of	139.0	141.0	41	106083
every	141.0	142.0	41	106083
five	142.0	150.0	41	106083
people	150.0	156.0	41	106083
on	156.0	157.0	41	106083
earth	157.0	160.0	41	106083
