Word	start_frame	end_frame	chunk	interval_id
what	0.0	2.0	0	97266
did	2.0	5.0	0	97266
you	5.0	7.0	0	97266
think	7.0	10.0	0	97266
was	10.0	17.0	0	97266
going	17.0	19.0	0	97266
to	19.0	25.0	0	97266
happen	25.0	26.0	0	97266
it's	26.0	47.0	0	97266
like	47.0	50.0	0	97266
you	50.0	52.0	0	97266
got	52.0	55.0	0	97266
a	55.0	58.0	0	97266
group	58.0	62.0	0	97266
invitation	62.0	67.0	0	97266
to	67.0	76.0	0	97266
a	76.0	77.0	0	97266
birthday	77.0	80.0	0	97266
party	80.0	85.0	0	97266
and	85.0	94.0	0	97266
then	94.0	97.0	0	97266
accidentally	97.0	107.0	0	97266
replied	107.0	116.0	0	97266
all	116.0	121.0	0	97266
call	121.0	132.0	0	97266
admitted	0.0	10.0	1	98053
this	10.0	13.0	1	98053
was	13.0	18.0	1	98053
6	0.0	3.0	2	99430
times	3.0	9.0	2	99430
in	9.0	12.0	2	99430
one	12.0	13.0	2	99430
month	13.0	18.0	2	99430
are	18.0	30.0	2	99430
you	30.0	33.0	2	99430
the	33.0	34.0	2	99430
president	34.0	37.0	2	99430
of	37.0	43.0	2	99430
the	43.0	45.0	2	99430
United	45.0	46.0	2	99430
States	46.0	55.0	2	99430
or	55.0	58.0	2	99430
a	58.0	58.0	2	99430
San	58.0	63.0	2	99430
Diego	63.0	70.0	2	99430
dentist	70.0	109.0	2	99430
I	109.0	109.0	2	99430
know	109.0	115.0	2	99430
some	115.0	118.0	2	99430
of	118.0	120.0	2	99430
you	120.0	120.0	2	99430
might	120.0	123.0	2	99430
be	123.0	124.0	2	99430
saying	124.0	130.0	2	99430
but	130.0	132.0	2	99430
he	132.0	133.0	2	99430
criticized	133.0	141.0	2	99430
Obama	141.0	142.0	2	99430
for	142.0	150.0	2	99430
golfing	150.0	156.0	2	99430
what	156.0	159.0	2	99430
about	159.0	162.0	2	99430
that	162.0	168.0	2	99430
will	168.0	169.0	2	99430
you	169.0	172.0	2	99430
are	172.0	174.0	2	99430
forgetting	174.0	180.0	2	99430
to	180.0	181.0	2	99430
when	181.0	183.0	2	99430
it	183.0	184.0	2	99430
comes	184.0	189.0	2	99430
to	189.0	190.0	2	99430
being	190.0	192.0	2	99430
a	192.0	193.0	2	99430
hypocrite	193.0	198.0	2	99430
Donald	198.0	211.0	2	99430
Trump	211.0	214.0	2	99430
has	214.0	217.0	2	99430
a	217.0	219.0	2	99430
zero	219.0	226.0	2	99430
handicap	226.0	234.0	2	99430
she's	234.0	256.0	2	99430
the	256.0	258.0	2	99430
Tiger	258.0	267.0	2	99430
Woods	267.0	277.0	2	99430
of	277.0	279.0	2	99430
hypocrisy	279.0	364.0	2	99430
no	364.0	370.0	2	99430
more	370.0	375.0	2	99430
they	0.0	12.0	9	5819
were	12.0	13.0	9	5819
major	13.0	21.0	9	5819
developments	21.0	31.0	9	5819
in	31.0	33.0	9	5819
the	33.0	34.0	9	5819
trial	34.0	40.0	9	5819
of	40.0	43.0	9	5819
trump	43.0	46.0	9	5819
tax	46.0	48.0	9	5819
campaign	48.0	60.0	9	5819
chairman	60.0	64.0	9	5819
Paul	64.0	67.0	9	5819
manafort	67.0	75.0	9	5819
manafort's	75.0	88.0	9	5819
business	88.0	96.0	9	5819
partner	96.0	102.0	9	5819
Rick	102.0	106.0	9	5819
Gates	106.0	112.0	9	5819
who	112.0	115.0	9	5819
was	115.0	117.0	9	5819
also	117.0	121.0	9	5819
Trump's	121.0	129.0	9	5819
Deputy	129.0	132.0	9	5819
campaign	132.0	139.0	9	5819
chairman	139.0	148.0	9	5819
testified	148.0	163.0	9	5819
against	163.0	168.0	9	5819
manafort	168.0	174.0	9	5819
and	174.0	181.0	9	5819
here	181.0	184.0	9	5819
is	184.0	186.0	9	5819
the	186.0	187.0	9	5819
real	187.0	202.0	9	5819
a	0.0	0.0	11	6614
very	0.0	6.0	11	6614
strong	6.0	10.0	11	6614
case	10.0	15.0	11	6614
since	15.0	21.0	11	6614
Trump	21.0	25.0	11	6614
knows	25.0	28.0	11	6614
virtually	28.0	31.0	11	6614
nothing	31.0	39.0	11	6614
about	39.0	39.0	11	6614
the	39.0	45.0	11	6614
job	45.0	49.0	11	6614
but	49.0	51.0	11	6614
you	51.0	60.0	11	6614
would	60.0	61.0	11	6614
think	61.0	63.0	11	6614
that	63.0	67.0	11	6614
a	67.0	70.0	11	6614
man	70.0	70.0	11	6614
who	70.0	78.0	11	6614
ran	78.0	81.0	11	6614
on	81.0	85.0	11	6614
a	85.0	85.0	11	6614
platform	85.0	87.0	11	6614
of	87.0	94.0	11	6614
pure	94.0	99.0	11	6614
patriotism	99.0	112.0	11	6614
and	112.0	118.0	11	6614
he	118.0	118.0	11	6614
spent	118.0	121.0	11	6614
months	121.0	132.0	11	6614
lecturing	132.0	141.0	11	6614
athletes	141.0	148.0	11	6614
about	148.0	151.0	11	6614
respecting	151.0	159.0	11	6614
the	159.0	160.0	11	6614
national	160.0	166.0	11	6614
anthem	166.0	174.0	11	6614
at	174.0	180.0	11	6614
the	180.0	181.0	11	6614
very	181.0	187.0	11	6614
least	187.0	190.0	11	6614
know	190.0	199.0	11	6614
the	199.0	204.0	11	6614
words	204.0	213.0	11	6614
to	213.0	214.0	11	6614
the	214.0	216.0	11	6614
answer	216.0	222.0	11	6614
and	222.0	240.0	11	6614
yet	240.0	243.0	11	6614
Trump	243.0	249.0	11	6614
seem	249.0	252.0	11	6614
lost	252.0	259.0	11	6614
if	259.0	262.0	11	6614
you	262.0	262.0	11	6614
tried	262.0	267.0	11	6614
to	267.0	268.0	11	6614
sing	268.0	271.0	11	6614
along	271.0	274.0	11	6614
to	274.0	277.0	11	6614
the	277.0	279.0	11	6614
anthem	279.0	285.0	11	6614
for	285.0	286.0	11	6614
last	286.0	294.0	11	6614
night's	294.0	305.0	11	6614
he	0.0	2.0	15	6057
was	2.0	3.0	15	6057
talking	3.0	6.0	15	6057
about	6.0	39.0	15	6057
on	39.0	45.0	15	6057
top	45.0	48.0	15	6057
of	48.0	50.0	15	6057
the	50.0	51.0	15	6057
fact	51.0	54.0	15	6057
that	54.0	57.0	15	6057
it	57.0	59.0	15	6057
would	59.0	60.0	15	6057
be	60.0	62.0	15	6057
a	62.0	63.0	15	6057
waste	63.0	65.0	15	6057
of	65.0	68.0	15	6057
time	68.0	71.0	15	6057
and	71.0	74.0	15	6057
money	74.0	77.0	15	6057
there's	77.0	83.0	15	6057
also	83.0	86.0	15	6057
the	86.0	89.0	15	6057
fact	89.0	90.0	15	6057
that	90.0	95.0	15	6057
the	95.0	95.0	15	6057
Pentagon	95.0	102.0	15	6057
itself	102.0	107.0	15	6057
doesn't	107.0	113.0	15	6057
even	113.0	116.0	15	6057
seem	116.0	120.0	15	6057
to	120.0	120.0	15	6057
want	120.0	125.0	15	6057
it	125.0	126.0	15	6057
because	126.0	132.0	15	6057
Trump	132.0	138.0	15	6057
also	138.0	147.0	15	6057
asked	147.0	152.0	15	6057
for	152.0	153.0	15	6057
a	153.0	155.0	15	6057
